municipio_distrito;fecha_informe;casos_confirmados_activos_ultimos_14dias;tasa_incidencia_acumulada_activos_ultimos_14dias;casos_confirmados_ultimos_14dias;tasa_incidencia_acumulada_ultimos_14dias;casos_confirmados_totales;tasa_incidencia_acumulada_total;codigo_geometria
Chapinería;2020/11/10 10:27:00;;;7;300,69;60;2577,32;513
Ciempozuelos;2020/11/10 10:27:00;;;100;406,64;990;4025,7;409
Ajalvir;2020/11/10 10:27:00;;;5;106,11;120;2546,69;29
San Lorenzo de El Escorial;2020/11/10 10:27:00;;;59;321,19;631;3435,14;1317
Gascones;2020/11/10 10:27:00;;;;0;;1036,27;647
San Martín de la Vega;2020/11/10 10:27:00;;;67;349,5;738;3849,77;1322
Móstoles;2020/11/10 10:27:00;;;618;295,43;9207;4401,39;920
Leganés;2020/11/10 10:27:00;;;388;204,36;9142;4815,1;745
Braojos;2020/11/10 10:27:00;;;;0;13;6341,46;246
Cubas de la Sagra;2020/11/10 10:27:00;;;15;233,9;296;4615,62;506
Algete;2020/11/10 10:27:00;;;61;295,96;917;4449,08;91
Mejorada del Campo;2020/11/10 10:27:00;;;112;481,22;1002;4305,23;843
Loeches;2020/11/10 10:27:00;;;29;329,88;330;3753,84;758
Parla;2020/11/10 10:27:00;;;344;264,36;7746;5952,78;1065
Fuentidueña de Tajo;2020/11/10 10:27:00;;;17;828,06;116;5650,27;604
Ambite;2020/11/10 10:27:00;;;;168,92;29;4898,65;112
Torremocha de Jarama;2020/11/10 10:27:00;;;;0;34;3336,6;1533
Anchuelo;2020/11/10 10:27:00;;;;78,68;26;2045,63;127
Los Molinos;2020/11/10 10:27:00;;;16;364,55;229;5217,59;875
Soto del Real;2020/11/10 10:27:00;;;20;227,3;225;2557,11;1441
Valverde de Alcalá;2020/11/10 10:27:00;;;;215,05;18;3870,97;1662
Fuente el Saz de Jarama;2020/11/10 10:27:00;;;13;194,15;337;5032,86;590
Horcajo de la Sierra-Aoslos;2020/11/10 10:27:00;;;;0;6;4137,93;702
Valdeolmos-Alalpardo;2020/11/10 10:27:00;;;15;362,67;146;3529,98;1625
Campo Real;2020/11/10 10:27:00;;;30;483,09;310;4991,95;339
Valdeavero;2020/11/10 10:27:00;;;;257,4;31;1994,85;1564
Villamanrique de Tajo;2020/11/10 10:27:00;;;;142,25;20;2844,95;1739
Cobeña;2020/11/10 10:27:00;;;15;201,94;324;4361,87;416
Fresnedillas de la Oliva;2020/11/10 10:27:00;;;;190,84;45;2862,6;565
Valdilecha;2020/11/10 10:27:00;;;15;511,42;172;5864,3;1659
El Berrueco;2020/11/10 10:27:00;;;;394,74;51;6710,53;210
Pezuela de las Torres;2020/11/10 10:27:00;;;7;831,35;23;2731,59;1111
Villar del Olmo;2020/11/10 10:27:00;;;;99,45;59;2933,86;1795
Guadarrama;2020/11/10 10:27:00;;;49;305,64;757;4721,81;685
San Martín de Valdeiglesias;2020/11/10 10:27:00;;;63;744,77;401;4740,51;1338
Torrelodones;2020/11/10 10:27:00;;;73;307,8;895;3773,66;1527
Boadilla del Monte;2020/11/10 10:27:00;;;179;328,02;1572;2880,7;225
Torrejón de Velasco;2020/11/10 10:27:00;;;19;433,59;182;4153,35;1505
Villanueva de Perales;2020/11/10 10:27:00;;;;191,94;27;1727,45;1782
Tielmes;2020/11/10 10:27:00;;;17;641,51;180;6792,45;1467
San Sebastián de los Reyes;2020/11/10 10:27:00;;;288;322,6;4175;4676,51;1343
Guadalix de la Sierra;2020/11/10 10:27:00;;;31;498,87;225;3620,86;679
Humanes de Madrid;2020/11/10 10:27:00;;;63;319,1;1130;5723,55;730
Chinchón;2020/11/10 10:27:00;;;35;656,54;200;3751,64;528
Cadalso de los Vidrios;2020/11/10 10:27:00;;;9;296,15;70;2303,39;318
Hoyo de Manzanares;2020/11/10 10:27:00;;;43;509,84;248;2940,48;724
Torrejón de la Calzada;2020/11/10 10:27:00;;;35;394,5;380;4283,14;1492
Estremera;2020/11/10 10:27:00;;;;158,73;45;3571,43;552
Corpa;2020/11/10 10:27:00;;;;0;16;2244,04;480
Meco;2020/11/10 10:27:00;;;22;153,79;422;2950,02;838
Madarcos;2020/11/10 10:27:00;;;;0;;8333,33;783
Zarzalejo;2020/11/10 10:27:00;;;;120,63;76;4583,84;1837
Arganda del Rey;2020/11/10 10:27:00;;;205;370,11;2496;4506,31;148
Collado Mediano;2020/11/10 10:27:00;;;22;316,18;203;2917,51;468
Daganzo de Arriba;2020/11/10 10:27:00;;;15;146,99;299;2929,94;534
Manzanares El Real;2020/11/10 10:27:00;;;25;282,81;306;3461,54;822
Buitrago del Lozoya;2020/11/10 10:27:00;;;8;424,63;78;4140,13;278
Valdelaguna;2020/11/10 10:27:00;;;;106,72;31;3308,43;1570
Valdepiélagos;2020/11/10 10:27:00;;;;684,93;22;3767,12;1631
Casarrubuelos;2020/11/10 10:27:00;;;;105,88;153;4049,76;360
Miraflores de la Sierra;2020/11/10 10:27:00;;;18;294,7;180;2946,95;856
Paracuellos de Jarama;2020/11/10 10:27:00;;;70;277,02;818;3237,17;1049
El Vellón;2020/11/10 10:27:00;;;;51,07;94;4800,82;1684
